reference,config_name,total_tokens,nodes,edges,merge_ratio,variation_points,time
136,Enriched (text),208,81,113,2.568,30,0.45
136,Raw (text),222,93,134,2.387,34,0.1
137,Enriched (lemma+pos),525,198,279,2.652,76,0.89
137,Enriched (lemma),525,173,240,3.035,60,0.9
137,Enriched (text),525,201,279,2.612,70,0.97
137,Raw (text),549,252,354,2.179,87,0.25
138,Enriched (lemma+pos),711,277,409,2.567,118,0.99
138,Enriched (lemma),711,250,368,2.844,105,1.19
138,Enriched (text),711,276,400,2.576,106,1.22
138,Raw (text),758,340,489,2.229,122,0.29
139,Enriched (lemma+pos),272,91,130,2.989,36,0.52
139,Enriched (lemma),272,85,120,3.2,31,0.5
139,Enriched (text),272,98,139,2.776,36,0.56
139,Raw (text),297,124,170,2.395,45,0.08
140,Enriched (lemma+pos),645,220,323,2.932,90,1.19
140,Enriched (lemma),645,197,285,3.274,77,1.0
140,Enriched (text),645,236,336,2.733,87,0.94
140,Raw (text),675,277,392,2.437,95,0.24
141,Enriched (lemma+pos),362,142,203,2.549,55,0.71
141,Enriched (lemma),362,130,187,2.785,51,0.77
141,Enriched (text),362,144,202,2.514,55,0.79
141,Raw (text),379,159,223,2.384,56,0.07
142,Enriched (lemma+pos),562,240,354,2.342,105,0.94
142,Enriched (lemma),562,225,325,2.498,95,0.92
142,Enriched (text),562,238,344,2.361,93,0.84
142,Raw (text),589,262,369,2.248,99,0.13
143,Enriched (lemma+pos),470,197,285,2.386,81,0.94
143,Enriched (lemma),470,182,264,2.582,77,0.98
143,Enriched (text),470,187,272,2.513,74,0.97
143,Raw (text),499,221,320,2.258,83,0.18
144,Enriched (lemma+pos),555,207,296,2.681,78,0.95
144,Enriched (lemma),555,202,288,2.748,76,0.98
144,Enriched (text),555,199,278,2.789,71,0.94
144,Raw (text),581,237,329,2.451,81,0.07
145,Enriched (lemma+pos),51,23,31,2.217,7,0.24
145,Enriched (lemma),51,25,34,2.04,9,0.2
145,Enriched (text),51,19,25,2.684,6,0.23
145,Raw (text),52,22,29,2.364,7,0.08
146,Enriched (lemma+pos),135,55,77,2.455,20,0.47
146,Enriched (lemma),135,45,62,3.0,15,0.48
146,Enriched (text),135,47,65,2.872,16,0.38
146,Raw (text),145,56,77,2.589,18,0.09
147,Enriched (lemma+pos),122,55,76,2.218,21,0.41
147,Enriched (lemma),122,57,77,2.14,21,0.47
147,Enriched (text),122,51,70,2.392,18,0.45
147,Raw (text),131,52,70,2.519,16,0.13
148,Enriched (lemma+pos),527,198,288,2.662,81,0.91
148,Enriched (lemma),527,188,273,2.803,78,1.12
148,Enriched (text),527,202,282,2.609,72,0.98
148,Raw (text),554,231,324,2.398,80,0.2
